date,memberName,memberNameZh,qualification,sourceUrl,originalTitle
2026-07-30,,,"MICE, CEng",https://www.hcl.hk/website/new-web-mobile/news.htm,Congratulations to HCL member (MICE&CEng)
2026-07-30,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news.htm,Congratulations to HCL member (MCIOB)
2026-06-30,,,MRICS,https://www.hcl.hk/website/new-web-mobile/news.htm,Congratulations to HCL member (MRICS)
2026-06-30,,,MHKICM,https://www.hcl.hk/website/new-web-mobile/news.htm,Congratulations to HCL member (MHKICM)
2026-06-30,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news.htm,Congratulations to HCL member (MCIOB)
2026-05-30,,,MHKIE,https://www.hcl.hk/website/new-web-mobile/news.htm,Congratulations to HCL member (MHKIE)
2026-05-30,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news.htm,Congratulations to HCL member (MCIOB)
2026-05-30,,,"MCABE, CEng",https://www.hcl.hk/website/new-web-mobile/news.htm,Congratulations to HCL member (MCABE&CEng)
2026-04-30,,,"MICE, CEng",https://www.hcl.hk/website/new-web-mobile/news.htm,Congratulations to HCL member (MICE&CEng)
2026-04-30,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news.htm,Congratulations to HCL member (MCIOB)
2026-04-30,,,MAIB,https://www.hcl.hk/website/new-web-mobile/news.htm,Congratulations to HCL member (MAIB)
2026-03-31,,,MRICS,https://www.hcl.hk/website/new-web-mobile/news.htm,Congratulations to HCL member (MRICS)
2026-03-31,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news.htm,Congratulations to HCL member (MCIOB)
2026-03-31,,,"MCABE, CEng",https://www.hcl.hk/website/new-web-mobile/news.htm,Congratulations to HCL member (MCABE&CEng)
2026-02-28,,,"MCIWM, CRWM",https://www.hcl.hk/website/new-web-mobile/news.htm,Congratulations to HCL member (MCIWM&CRWM))
2026-02-28,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news.htm,Congratulations to HCL member (MCIOB)
2026-01-31,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news15.htm,Congratulations to HCL member (MCIOB)
2026-01-10,,,"MCABE, CEng",https://www.hcl.hk/website/new-web-mobile/news15.htm,Congratulations to HCL member (MCABE&CEng)
2025-12-30,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news15.htm,Congratulations to HCL member (MCIOB)
2025-12-25,,,"MIET, CEng",https://www.hcl.hk/website/new-web-mobile/news15.htm,Congratulations to HCL member (MIET&CEng)
2025-11-30,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news15.htm,Congratulations to HCL member (MCIOB)
2025-10-31,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news15.htm,Congratulations to HCL member (MCIOB)
2025-09-30,,,"MIET, CEng",https://www.hcl.hk/website/new-web-mobile/news-c15.htm,Congratulations to HCL member (MIET&CEng)
2025-09-30,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news15.htm,Congratulations to HCL member (MCIOB)
2025-08-31,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news14.htm,Congratulations to HCL member (MCIOB)
2025-07-31,,,MHKICM,https://www.hcl.hk/website/new-web-mobile/news14.htm,Congratulations to HCL member (MHKICM)
2025-07-30,,,"MCIWEM, C.WEM",https://www.hcl.hk/website/new-web-mobile/news14.htm,"Congratulations to HCL member (MCIWEM,C.WEM)"
2025-06-30,,,"MCIBSE, CEng",https://www.hcl.hk/website/new-web-mobile/news14.htm,Congratulations to HCL member (MCIBSE&CEng)
2025-04-30,,,"MEA, CPEng",https://www.hcl.hk/website/new-web-mobile/news14.htm,Congratulations to HCL member (MEA&CPEng)
